context_id	word	gold_sense_id	predict_sense_id	positions	context
display.n.1	display	display.n.1		107-114	In a corner of the cavernous, new Nippon Convention Center sits Mazda Motor Corp. 's advanced - technology display. The highlight: a ``fragrance control system. ''
display.n.2	display	display.n.1		213-220	With the touch of a button, drivers can choose from lavender, jasmine, mint or perfume scents, all blown in through the car's air - conditioning system. The soft, wafting aromas will ``improve ride comfort, ''the display attests, and a proud employee says Mazda hopes to move the system out of the lab and into its cars in a year or two. Welcome to the 28th Tokyo Motor Show.
display.n.3	display	display.n.1		169-176	Suzuki Motor Co. 's Escudome sport vehicle features a pop - out rear tent and invites drivers to go ``back to the nature. ''But this biennial event, the world's largest display of cars and trucks, has its serious side, including the first major exhibitions of future engines and vehicle - suspension systems. It's also the prime showcase for a country whose world dominance in the industry is increasingly acknowledged, and therein lies the draw.
display.n.4	display	display.n.1		27-35	New Technology The hottest displays were items that insulate passengers from bumps, potholes and other rigors of the road. These ``active suspension systems ''electronically sense road conditions and adjust a car's ride.
display.n.5	display	display.n.1		136-144	By contrast, the pistons in conventional four - stroke engines must move up and down twice in each power cycle. The two - stroke engine displays by Toyota and Fuji Heavy Industries, the maker of Subaru cars, drew plenty of interest from U.S. auto executives, who are rushing to develop two - stroke engines. Honda Motor Co. shows a more conventional five - cylinder engine in the new Accord Inspire model, which made its debut just this month -- in Japan only.
display.n.6	display	display.n.1		129-136	Hyundai Motor Co. of South Korea has its first - ever exhibit in Tokyo. General Motors Corp. is sponsoring its first independent display in 10 years, and it includes a boxy Buick station wagon with wood - grain side panels. Ford and Chrysler also have exhibits, although theirs are tucked in a separate room with the less - popular automotive parts section.
display.n.7	display	display.n.2		129-136	The new understanding did n't just spring to life in a spontaneous eruption of sweetness and light. It emerged after a rancorous display of old - style intelligence politics that followed this month's failed coup attempt in Panama. The White House used television appearances and leaks to argue that congressionally imposed restrictions on covert actions made U.S. support for such coups difficult.
display.n.8	display	display.n.1		192-199	This autumn's edition of the biannual fair will run through Oct. 31. Inside the 156,000 - square - yard glass exhibition complex, products ranging from clothing to AK - 47 machine guns are on display. Fair officials say that 21,000 guests visited during the first five days, a 10% drop from the spring exhibition.
display.n.9	display	display.n.1		310-318	The company says it will increase its international advertising 35% in 1990, with bourbon representing most of that amount. Guinness's Schenley Industries unit has increased its TV advertising in Japan and has built partnerships with duty - free shops throughout Asia, enabling it to install prominent counter displays. The company's I.W. Harper brand is the leading bourbon in Japan, with 40% of the market.
display.n.10	display	display.n.4		346-353	With only small help from the government, these start - up concerns are trying to compete with the Goliaths of the Japanese consumer electronics industry, which enjoy considerable backing from the Japanese government. Photonics Technology Inc. of Northwood, Ohio, aims to use a new form of plasma technology to put movie - quality images on a TV display that is 40 inches in diameter but only a few inches thick. Planar Systems Inc. of Beaverton, Ore., the largest of these firms, with $20 million in annual revenue, has similar plans.
display.n.11	display	display.n.4		314-322	It already has had success in electroluminescence, another promising technology adaptable for high - definition television. Two other firms, Ovonic Imaging Systems Inc. of Troy, Mich., and Magnascreen Corp. of Pittsburgh are developing a variation of the flat - panel screens called active - matrix liquid crystal displays. The new technologies are intended to retire the cathode - ray tube, which accounts for most of the bulk of the conventional TV set.
display.n.12	display	display.n.4		260-268	Large U.S. companies are interested in other segments of the HDTV business, such as signal - processing and broadcast equipment. But except for Zenith Electronics Corp. and International Business Machines Corp., which is collaborating with Toshiba on computer displays, they are poorly positioned to exploit advances in large panels. General Electric Co. recently sold off its interests in liquid - crystal displays to Thompson - CSF of France.
display.n.13	display	display.n.4		131-139	But except for Zenith Electronics Corp. and International Business Machines Corp., which is collaborating with Toshiba on computer displays, they are poorly positioned to exploit advances in large panels. General Electric Co. recently sold off its interests in liquid - crystal displays to Thompson - CSF of France. ``We found the market not developing as we thought it would, ''a GE spokesman says.
display.n.14	display	display.n.4		269-276	But Peter Brody, Magnascreen's president, says Japanese companies are poised to snatch the technology and put it to commercial use, just as they did with earlier U.S. innovations in color television and video recording. In the 1970s, Mr. Brody helped develop the first display panels based on active - matrix liquid crystals at Westinghouse Electric Corp. 's research labs in Pittsburgh. The panels are like oversized semiconductors surfaced with a million or more picture elements, each contributing to the color and tone of a TV image.
display.n.15	display	display.n.4		256-263	``We do n't see a domestic source for some of our -LCB- HDTV -RCB- requirements, and that's a source of concern, ''says Michael Kelly, director of DARPA's defense manufacturing office. So DARPA is trying to keep the industry interested in developing large display panels by doling out research funds. HDTV already has some military applications, such as creating realistic flight simulations and transmitting information to combat commanders.
display.n.16	display	display.n.4		163-171	HDTV already has some military applications, such as creating realistic flight simulations and transmitting information to combat commanders. The Navy is ordering displays for its Aegis cruisers and the Army wants smaller versions for its Abrams battle tanks. The Commerce Department also is trying to encourage HDTV because of the benefits that could spin off to the semiconductor and computer industries.
display.n.17	display	display.n.4		192-200	``It is n't just yuppie television, ''argues Jack Clifford, director of the department's office of microelectronics and instrumentation.`` The industry will create industrial products such as displays for work stations and medical diagnostic equipment before it acquires a mass consumer market.'' Although some HDTV advocates are calling for other forms of aid, such as antitrust relief for research consortia, the small firms simply would prefer more DARPA funds.
display.n.18	display	display.n.4		289-297	They also want U.S. trade policy to reflect the Pentagon and Commerce department's concern over their future. They all are strongly opposed to a petition from several Japanese TV manufacturers, including Matsushita, Hitachi, and Toshiba, to exempt portable color TVs with liquid - crystal displays from anti-dumping duties that the U.S. imposes on the larger Japanese color TVs. And they want the U.S. to help them sell overseas.
display.n.19	display	display.n.4		133-140	And they want the U.S. to help them sell overseas. Planar President James Hurd says he has to pay tariffs as high as 15% to sell his display panels in Japan and South Korea, while panels from those countries enter the U.S. duty - free. ``This is n't a technology issue, but an attitude issue, ''he says.
display.n.20	display	display.n.1		216-223	As a result, artists from Taiwan and abroad have been scrabbling for a slice of the public art pie. In Taipei, 1997 was designated as the Year of Public Art, and the following year experimental installations went on display at nine cultural centers around the island, chosen by the Council for Cultural Affairs -LRB- CCA -RRB-. 1998 also saw the adoption of new measures governing the installation of such works.
display.n.21	display	display.n.2		133-140	They must give up working if they wish to train full-time. The South Korean team of veterans, by overcoming their injuries to give a display of athleticism at the international level, have emerged from the shadow of war and transformed their handicaps into glorious results. This example should provide food for thought to the disabled and sports communities in the future.
display.n.22	display	display.n.2		179-186	The next day, showing commendable courage, Yang and Peng slipped back into the conference chamber. But their actions also attracted the criticism that this kind of high - decibel display is not in fact helpful for achieving Taiwan's return to the United Nations. However, Yang does not subscribe to this view.
display.n.23	display	display.n.1		176-183	"The terracotta warriors from the tomb of Qin Shi Huang, which is included on the list of World Heritage sites of the UNESCO, have come ashore in Taiwan! The 17 warriors now on display at the National Museum of History represent the largest contingent from the ancient tomb ever to travel on loan outside of mainland China. ""Reporting to the general, sir!"
display.n.24	display	display.n.2		219-226	"Peipu, in the meantime, enjoys a booming tourist industry that just keeps growing. Since the earthquake, Peipu's Ta Ai Community Affairs Center -LRB- TCAC -RRB- has lent sustained assistance to Shihkang in a remarkable display of how a disaster can bring out the best in people. ""Donations and volunteers came flooding in immediately after the earthquake,"" says Shihkang mayor Hsieh Chen-ying, ""but we all knew that it would n't last for long."
display.n.25	display	display.n.3		144-151	p. 82 -LRB- above, by Pu Hua-chih -RRB- Lively celebrations were carried out across the island on the evening of May 20th, with a big fireworks display lighting the night sky in Taipei. -LRB- facing page, by Hsueh Chi-kuang -RRB- Foreign guests attended the inauguration in large numbers.
display.n.26	display	display.n.4		164-172	Ritek will be responsible for the production of the disk. A year and a half ago Ritek invested in the production of OLED -LRB- organic light - emitting diode -RRB- displays, which is yet another technology used in portable computing devices that relies on thin opto-electrical film application techniques. Currently Ritek is the largest producer of OLEDs in the world.
display.n.27	display	display.n.1		184-192	He and his mother rarely went shopping together or discussed how to evaluate the quality of clothes. Chang, who takes note of how others dress and of how fashions are matched in store displays, says that the point is not for parents to teach their children to be slaves to fashion, but to teach them how to dress with a sense of character and beauty. Whether or not you find this behavior among some men acceptable, it is an established fact.
display.n.28	display	display.n.1		302-309	The calligrapher and seal - carver Wang Chuang-wei spent a lifetime working assiduously at his craft, producing a body of work in which every single stroke and cut looks perfect. Wang passed away three years ago, and this January a collection of 50 works, spanning every period of Wang's life, went on display at the National Palace Museum in Taipei. In recent years the museum, primarily known for its collection of treasures from the palaces of Ming and Qing dynasty China, has broadened its remit and begun acquiring newly excavated artifacts as well as 20th century calligraphy and painting - including works by such luminaries as Chang Ta-chien, Qi Baishi, Yu Yo-jen and Tai Ching-nung.
display.n.29	display	display.n.1		269-276	When you climb to the second floor, in Room 201 a worker is stirring cement with all his might in preparation for putting up a decorative wall of cement interspersed with ceramic pieces. And in Room 203, a group of people are busy putting the finished reproductions on display, documenting the process on video as they go along. Suddenly there is a crash, followed by a gasp, and Lu Hsiu-chin, director of the Research and Collections Department, rushes in to see what has happened.
display.n.30	display	display.n.1		293-300	"""We felt that Taiwan ceramics should cover more than just what Han Chinese people have done in the 400 years since large-scale migration began from the mainland, but should also include aboriginal and prehistoric pottery. But it is quite a challenge to effectively create such a comprehensive display, especially since authentic pieces are so hard to come by."" Lu Hsiu-chin reveals that most of the genuine items are held by the Department of Archeology and Anthropology at National Taiwan University -LRB- NTU -RRB- or by the Institute of History and Philology at the Academia Sinica."
display.n.31	display	display.n.1		283-291	"Liu continues: ""Though later Cheng left archeology to do ceramic art, he did not forget his affection for prehistoric pottery, and his early work was influenced by ancient painted pottery."" Liu notes that in recent years there has been growing demand for archeological artifacts for displays, precisely fitting with Cheng's familiarity with ceramic art and his understanding of archeological work. As Lu Hsiu-chin says, with the satisfaction that comes of knowing one has got just what one wants, ""He is the ideal person to do reproductions of prehistoric pottery."""
display.n.32	display	display.n.1		67-74	p. 77 Cheng Yung-gwo's reproductions of prehistoric pottery are on display in the Taipei County Yingko Ceramics Museum. p. 78
display.n.33	display	display.n.3		79-86	All this is one man's personal Christmas decoration. It's his annual Christmas display, and tens of thousands of people come to see the blinking, spinning, twirling lights and hear the holiday music. There are more than 52,000 lights, all synchronized to Christmas carols.
display.n.34	display	display.n.3		132-139	It takes more than 10 1 / 2 miles of cable and wire to hook it all up, and 23 computers. This is definitely a high - tech Christmas display. Doof, who is an electrical engineer, says his vision for the display was ahead of its time.
display.n.35	display	display.n.3		43-50	This is definitely a high - tech Christmas display. Doof, who is an electrical engineer, says his vision for the display was ahead of its time.
display.n.36	display	display.n.3		28-35	Over the past 20 years, the display has gotten bigger and brighter, and Doof says this one is the biggest yet. He spends long hours on his elaborate display.
display.n.37	display	display.n.3		28-35	Over the past 20 years, the display has gotten bigger and brighter, and Doof says this one is the biggest yet. He spends long hours on his elaborate display. He started working on it last March.
display.n.38	display	display.n.1		219-226	When Fidel Castro and his rebels stormed Havana, they were joined by an intrepid American photographer who spoke little Spanish. His name is Burt Glinn, and now most Cubans are getting their first look at his photos on display in Havana until the end of the month. The collection is called ``on the road to Havana with Fidel, ''and is made up of 41 black and white images.
display.n.39	display	display.n.1		97-104	They're calling it a one of a kind exhibit the rarest and most precious diamonds in the world on display starting tomorrow morning at a Smithsonian in Washington. They are huge rocks.
display.n.40	display	display.n.1		68-75	Reporter: The 59.6 carat pink diamond just unveiled in Monaco is on display for the first time, its owners confident it is secure.
note.n.1	note	note.n.1		279-283	Premier Peng Li and Kirghizian President Akayev attended the signing ceremony. The six documents are: an agreement on Chinese providing a loan to the Kirghizia government, an agreement on forming a combined Economy and Trade Committee between the Sino-Kirghizian governments, an note exchange on the presenting of materials to Kirghizia by China, a cultural cooperation agreement between the two countries of China and Kirghizia, ratification letters on exchanging consular treaties between the two countries, an agreement on cooperating on the China Trade Promotion Council and the Kirghizian Chamber of Industry and Commerce. After the signing ceremony, Kirghizian President Akayev and Premier Peng Li respectively answered questions from reporters.
note.n.2	note	note.n.3		492-497	The three enterprises receiving indemnification are the Shanghai Household Textile Import & Export Company, Shanghai Rongheng International Trade Import & Export Company and the Jiaxing Tianfa Silk Import & Export Company of Zhejiang Province. The Shanghai Household Textile Import & Export Company established trade relations with the Commercial Resources Company of New Mexico of the US, beginning in 1993, and both parties agree to adopt the bank trust method to pay and accept commercial notes, but, the First National Bank of America has been privately and directly delivering express mail sent from China -LRB- including commercial notes such as bills of lading, etc. -RRB- to the CR Company free of charge. The CR Company, after collecting goods with bills of lading, has been delaying making payments or not paying and has defaulted on payments reaching as high as 1.850 million US dollars as payment for goods.
note.n.3	note	note.n.3		492-497	The three enterprises receiving indemnification are the Shanghai Household Textile Import & Export Company, Shanghai Rongheng International Trade Import & Export Company and the Jiaxing Tianfa Silk Import & Export Company of Zhejiang Province. The Shanghai Household Textile Import & Export Company established trade relations with the Commercial Resources Company of New Mexico of the US, beginning in 1993, and both parties agree to adopt the bank trust method to pay and accept commercial notes, but, the First National Bank of America has been privately and directly delivering express mail sent from China -LRB- including commercial notes such as bills of lading, etc. -RRB- to the CR Company free of charge. The CR Company, after collecting goods with bills of lading, has been delaying making payments or not paying and has defaulted on payments reaching as high as 1.850 million US dollars as payment for goods.
note.n.4	note	note.n.3		341-346	in the claim lodged by the plaintiff, the facts are clear and the evidence plentiful; the defendant, the First National Bank had obviously violated Chapter Four of the US Commercial Code of and Article No. 322 of the International Chamber of Commerce. The court ruled that the bank should take full liability for the amount of 31 collection notes from the Shanghai Household Textile Import & Export Company compensating 1.850 million US dollars. The two parties finally reached a settlement of 1.7 million US dollars.
note.n.5	note	note.n.3		125-130	Coda Energy Inc. said it completed the sale of Phenix - Transmission Co. to Bishop Pipeline Co., for $17 million in cash and notes. Coda, an oil and gas concern, said it and its partners received $7 million in cash and $10 million in five - year notes for the Kansas intrastate pipeline.
note.n.6	note	note.n.3		125-130	Coda Energy Inc. said it completed the sale of Phenix - Transmission Co. to Bishop Pipeline Co., for $17 million in cash and notes. Coda, an oil and gas concern, said it and its partners received $7 million in cash and $10 million in five - year notes for the Kansas intrastate pipeline. Coda owned 60% of the pipeline and private entities owned the rest.
note.n.7	note	note.n.5		168-172	All of that is just for starters, or so the hundreds of thousands of Eastern Europeans in the streets seem to hope and are certainly demanding. Of like, though lesser, note, Secretary of State James Baker put the administration four - square behind perestroika and glasnost, and therefore behind Mikhail Gorbachev, in a pair of carefully reasoned speeches over the past week or so. And, last but not least, President George Bush now views the changes in Eastern Europe as ``absolutely extraordinary ''and believes that Mr. Krenz`` ca n't turn the clock back'' in East Germany because the change is too inexorable, ''as he told the New York Times's R.W. Apple Jr.
note.n.8	note	note.n.4		164-168	In the tower, five men and women pull rhythmically on ropes attached to the same five bells that first sounded here in 1614. But there is also a discordant, modern note in Aslacton, though it ca n't be heard by the church - goers enjoying the peal of bells this cool autumn evening. Like most of the other 6,000 churches in Britain with sets of bells, St. Michael once had its own ``band ''of ringers, who would herald every Sunday morning and evening service.
note.n.9	note	note.n.5		146-150	Hardly a day passes without news photos of the police dragging limp protesters from some building or thoroughfare in one of our cities. Of recent note are the activities of the pro - and anti-abortionists, anti-nuclear activists, animal rights protesters, college students concerned about racism, anti-apartheid groups, various self - styled ``environmentalists ''and those dissatisfied with the pace of the war against AIDS. Maybe he did n't start it, but Mohandas Gandhi certainly provided a recognizable beginning to non-violent civil disobedience as we know it today.
note.n.10	note	note.n.1		184-189	It is not supported by the text or history of the Constitution. The framers hardly discussed the appropriations clause at the Constitutional Convention of 1787, according to Madison's notes. To the extent they did, their concern was to ensure fiscal accountability.
note.n.11	note	note.n.3		263-268	COMMERCIAL PAPER placed directly by General Motors Acceptance Corp.: 8.45% 30 to 44 days; 8.25% 45 to 68 days; 8.30% 69 to 89 days; 8.125% 90 to 119 days; 8% 120 to 149 days; 7.875% 150 to 179 days; 7.50% 180 to 270 days. COMMERCIAL PAPER: High - grade unsecured notes sold through dealers by major corporations in multiples of $1,000: 8.55% 30 days; 8.475% 60 days; 8.45% 90 days. CERTIFICATES OF DEPOSIT: 8.09% one month; 8.09% two months; 8.06% three months; 8% six months; 7.94% one year.
note.n.12	note	note.n.8		126-131	As you can guess, the Blandings want to deduct home - mortgage interest on the $200,000 loan. But, IRS private ruling 8940061 notes, no rule or court case bears directly on the issue of adding land to a principal residence. So the IRS has drawn a rationale from the sale of a home site split in two and sold in different years to the same buyer; a court let the seller in that old case treat this as the sale of one residence.
note.n.13	note	note.n.3		99-104	CONTROL DATA Corp. said it is offering to purchase the $154.2 million amount of its 12 3/4% senior notes due June 15, 1991, at par, plus accrued interest to the Dec. 8 purchase date. The Minneapolis computer systems and services concern said the offer is required under the senior note indenture as a result of Control Data's recent sale of its disk drive subsidiary, Imprimis, to Seagate Technology Inc.
note.n.14	note	note.n.3		99-103	CONTROL DATA Corp. said it is offering to purchase the $154.2 million amount of its 12 3/4% senior notes due June 15, 1991, at par, plus accrued interest to the Dec. 8 purchase date. The Minneapolis computer systems and services concern said the offer is required under the senior note indenture as a result of Control Data's recent sale of its disk drive subsidiary, Imprimis, to Seagate Technology Inc.
note.n.15	note	note.n.7		125-129	Before the two parties resumed talks last week, De Beers offered 17% and the union wanted 37.6%. China's People's Daily took note of the growing problem of computer fraud. Since the first fraud was discovered in July 1986 at an office of the People's Bank of China in Shenzhen, 15 major cases have been found, the paper said; the biggest was the theft of $235,000 from a bank in Chengdu in March 1988.
note.n.16	note	note.n.3		214-219	Also, the TW offering includes interest - deferred and pay - in - kind securities, which are currently unpopular. Meanwhile, investors turned a cold shoulder to the Treasury's sale of $10 billion of new two - year notes yesterday. ``It's not too surprising that the auction was sloppy, given the volatility in the bond market because of stocks, ''said Robert T. McGee, a senior vice president at Tokai Bank Ltd.
note.n.17	note	note.n.3		165-170	``People are looking past supply to lower interest rates, but they're also worried about being whipsawed by the volatility in the stock market. ''The new two - year notes were priced with an average yield of 7.74%. That was higher than the 7.71% to 7.73% average yield that traders had expected.
note.n.18	note	note.n.3		111-116	That was higher than the 7.71% to 7.73% average yield that traders had expected. In when - issued trading, the notes were quoted at a price to yield 7.78%. Sluggish demand was also evidenced by the weak 2.41 - to - 1 bid - to - cover ratio, which was lower than the average 2.79 - to - 1 ratio at the last 12 similar auctions.
note.n.19	note	note.n.3		163-167	``Interest by Japanese investors was limited, ''said Michael Moran, chief economist at Daiwa Securities America Inc.`` They are typically not active in two - year note auctions, but today's participation could be viewed as lighter - than - normal.'' However, Mr. Moran added that the Japanese generally have a positive view of the U.S. bond market because of expectations that the dollar will remain strong and interest rates will decline.
note.n.20	note	note.n.3		244-249	He said, ``Possibly, they're waiting to buy at the -LRB- quarterly -RRB- refunding ''of government debt to be held next month by the Treasury. A trader at a Japanese firm estimated that the Japanese purchased no more than 10% of the two - year notes. Treasury, Agency Securities
note.n.21	note	note.n.3		234-239	Three of the largest offerings, by Exxon Capital Corp., Xerox Corp. and Citicorp, were underwritten by groups led by Salomon Brothers Inc. Exxon Capital, long - rumored to be a potential debt issuer, offered $200 million of 10 - year notes priced to yield 8.31%. Citicorp issued $200 million of seven - year notes priced to yield 8.82%, and Xerox priced $150 million of six - year notes to yield 8.85%.
note.n.22	note	note.n.3		95-100	Exxon Capital, long - rumored to be a potential debt issuer, offered $200 million of 10 - year notes priced to yield 8.31%. Citicorp issued $200 million of seven - year notes priced to yield 8.82%, and Xerox priced $150 million of six - year notes to yield 8.85%. Meanwhile, International Business Machines Corp. paved the way for a visit to the credit markets by filing a shelf registration with the Securities and Exchange Commission for $800 million in new debt.
note.n.23	note	note.n.3		95-100	Exxon Capital, long - rumored to be a potential debt issuer, offered $200 million of 10 - year notes priced to yield 8.31%. Citicorp issued $200 million of seven - year notes priced to yield 8.82%, and Xerox priced $150 million of six - year notes to yield 8.85%. Meanwhile, International Business Machines Corp. paved the way for a visit to the credit markets by filing a shelf registration with the Securities and Exchange Commission for $800 million in new debt.
note.n.24	note	note.n.3		179-183	Freddie Mac 9% securities were at 97 21/32, up 5/32. The Ginnie Mae 9% issue was yielding 9.34% to a 12 - year average life assumption, as the spread above the Treasury 10 - year note held at 1.46 percentage points. Foreign Bonds
note.n.25	note	note.n.3		256-261	West Germany's 7% issue due October 1999 rose 0.13 point to 99.93 to yield 7.01%, while the 6 3/4% issue due July 1994 rose 0.05 to 97.70 to yield 7.33%. Britain's 11 3/4% Treasury bond due 2003 / 2007 rose 17/32 to 112 6/32 to yield 10.05%, while the 12% notes due 1995 rose 11/32 to 104 2/32 to yield 10.93%. In Japan, government bond prices fell.
note.n.26	note	note.n.7		147-151	Similar proposals were defeated in at least 15 other states. But small business, which generally detests government - mandated benefits, has taken note of the growing number of close votes. ``It's just a matter of time before the tide turns, ''says one Midwestern lobbyist.
note.n.27	note	note.n.5		180-184	What scientists have known since the late 1970s is that there is a hole in the layer over Antarctica that expands or contracts from year to year. But it is at least worthy of some note that there are very few refrigerators in Antarctica. Moreover, surely someone has noticed that household refrigerators are closed systems, running for many years without either the CFC gas or the insulation ever escaping.
note.n.28	note	note.n.3		178-183	``It was a time when interest rates came down very rapidly, ''Dr. Blumenfeld recalls. Yields on five - year CDs at major banks were averaging about 7.45%, and 10 - year Treasury notes were paying less than 8%. The CD seemed like a great deal.
note.n.29	note	note.n.3		124-129	Fees 1 5/8. Royal Bank of Canada, Grand Cayman branch -LRB- Canada -RRB- -- 100 million Canadian dollars of 10 3/4% deposit notes due Nov. 30, 1994, priced at 101 3/4 to yield 10.78% less full fees, via RBC Dominion Securities International Ltd. Fees 1 7/8.
note.n.30	note	note.n.3		263-268	COMMERCIAL PAPER placed directly by General Motors Acceptance Corp.: 8.50% 2 to 44 days; 8.25% 45 to 69 days; 8.40% 70 to 89 days; 8.20% 90 to 119 days; 8.05% 120 to 149 days; 7.90% 150 to 179 days; 7.50% 180 to 270 days. COMMERCIAL PAPER: High - grade unsecured notes sold through dealers by major corporations in multiples of $1,000: 8.575% 30 days; 8.50% 60 days; 8.45% 90 days. CERTIFICATES OF DEPOSIT: 8.09% one month; 8.09% two months; 8.06% three months; 8% six months; 7.94% one year.
note.n.31	note	note.n.2		284-289	Ms. Rose, who teaches literature at Wesleyan University, quickly proceeds to overemphasize, claiming that Baker's dancing ``had uncovered a new region for desire ''and thereby ignoring centuries of tributes to the callipygous.`` Jazz Cleopatra'' contains other, more important, false notes that undermine what is, for the most part, a lively account of a life already familiar from earlier works. It is easy to see why Baker, a free spirit who broke many of the restraints convention places on women, attracts Ms. Rose, the author of ``Parallel Lives, ''a wonderful study of Victorian marriage.
note.n.32	note	note.n.1		303-307	The abrupt management change sparked widespread speculation that Mr. Roman had been pushed out of Ogilvy's top spot by Mr. Sorrell. But Mr. Roman flatly denied the speculation, saying Mr. Sorrell had tried several times to persuade him to stay, offering various incentives and in one instance sending a note with a case of wine -LRB- The wine, naturally, was Seagram's brand, an Ogilvy client -RRB-. ``He asked me not to resign.
note.n.33	note	note.n.1		177-182	Both Saatchi & Saatchi, which announced its intention to sell off most of its consulting business in June, and Cleveland Consulting declined to comment on the proposed sale. Ad Notes.... NEW ACCOUNT:
note.n.34	note	note.n.3		139-144	We will go back and forth with a tilt toward slightly lower yields, ''he said. Today, the Treasury will sell $10 billion of new two - year notes. Tomorrow, Resolution Funding Corp., a division of a new government agency created to bail out the nation's troubled thrifts, will hold its first bond auction at which it will sell $4.5 billion of 30 - year bonds.
note.n.35	note	note.n.3		143-147	So far, money managers and other bond buyers have n't shown much interest in the Refcorp bonds. Analysts have mixed views about the two - year note auction. While some say the auction should proceed smoothly, others contend that yesterday's sale of $2.58 billion of asset - backed securities by Ford Motor Credit Corp. may have siphoned some potential institutional buyers from the government's note sale.
note.n.36	note	note.n.3		112-117	The benchmark 30 - year bond ended at a price of 102 3/32, compared with 101 17/32 Friday. The latest 10 - year notes were quoted late at 100 17/32 to yield 7.90%, compared with 100 3/32 to yield 7.97%. The latest two - year notes were quoted late at 100 28/32 to yield 7.84%.
note.n.37	note	note.n.3		21-26	The latest 10 - year notes were quoted late at 100 17/32 to yield 7.90%, compared with 100 3/32 to yield 7.97%. The latest two - year notes were quoted late at 100 28/32 to yield 7.84%. Short - term rates rose yesterday at the government's weekly Treasury bill auction, compared with the previous bill sale.
note.n.38	note	note.n.3		202-207	In the case of Beatrice, Salomon Brothers Inc. is considering restructuring the reset mechanism on the $200 million portion of the offering. Under the originally contemplated terms of the offering, the notes would have been reset annually at a fixed spread above Treasurys. Under the new plan being considered, the notes would reset annually at a rate to maintain a market value of 101.
note.n.39	note	note.n.3		61-66	Under the originally contemplated terms of the offering, the notes would have been reset annually at a fixed spread above Treasurys. Under the new plan being considered, the notes would reset annually at a rate to maintain a market value of 101. Price talk calls for the reset notes to be priced at a yield of between 13 1/4% and 13 1/2%.
note.n.40	note	note.n.3		41-46	Under the new plan being considered, the notes would reset annually at a rate to maintain a market value of 101. Price talk calls for the reset notes to be priced at a yield of between 13 1/4% and 13 1/2%. Mortgage - Backed Securities
note.n.41	note	note.n.3		307-311	Government National Mortgage Association 9% securities for November delivery were quoted late yesterday at 98 10/32, up 10/32; and Freddie Mac 9% securities were at 97 1/2, up 1/4. The Ginnie Mae 9% issue was yielding 8.36% to a 12 - year average life assumption, as the spread above the Treasury 10 - year note widened slightly to 1.46 percentage points. Municipals
note.n.42	note	note.n.3		165-170	West German bond prices ended lower after a day of aimless trading. The benchmark 7% bond due October 1999 fell 0.20 point to 99.80 to yield 7.03%, while the 6 3/4% notes due July 1994 fell 0.10 to 97.65 to yield 7.34%. British government bonds ended slightly higher in quiet trading as investors looked ahead to today's British trade report.
note.n.43	note	note.n.4		165-169	Miss DeLay requested that he come to her studio with a tape of the recital. ``We listened to the Chausson `Poeme, '''he recalls,`` and she said,` You hear the first note, that B - flat? That's the only note that's truly in tune...'.''
note.n.44	note	note.n.4		89-93	``We listened to the Chausson `Poeme, '''he recalls,`` and she said,` You hear the first note, that B - flat? That's the only note that's truly in tune...'.'' ``That's the most important experience I've had with any teacher, ''he says,`` because she taught me how to listen.
note.n.45	note	note.n.3		129-134	ATHLONE INDUSTRIES Inc. said that on Dec. 21 it will redeem $10 million face amount of its $59.3 million of 15.625% subordinated notes outstanding, due June 1, 1991. For each $1,000 of notes, the maker of specialty metals, industrial fasteners and consumer products will pay $1,026.46 plus $8.68 of interest accrued from Dec. 1.
note.n.46	note	note.n.3		129-134	ATHLONE INDUSTRIES Inc. said that on Dec. 21 it will redeem $10 million face amount of its $59.3 million of 15.625% subordinated notes outstanding, due June 1, 1991. For each $1,000 of notes, the maker of specialty metals, industrial fasteners and consumer products will pay $1,026.46 plus $8.68 of interest accrued from Dec. 1. The company will notify holders of the notes to be redeemed.
note.n.47	note	note.n.3		19-24	For each $1,000 of notes, the maker of specialty metals, industrial fasteners and consumer products will pay $1,026.46 plus $8.68 of interest accrued from Dec. 1. The company will notify holders of the notes to be redeemed. Manufacturers Hanover Trust Co. is redemption agent.
note.n.48	note	note.n.3		264-269	COMMERCIAL PAPER placed directly by General Motors Acceptance Corp.: 8.50% 15 to 44 days; 8.25% 45 to 72 days; 8.375% 73 to 96 days; 8.125% 97 to 119 days; 8% 120 to 149 days; 7.875% 150 to 179 days; 7.50% 180 to 270 days. COMMERCIAL PAPER: High - grade unsecured notes sold through dealers by major corporations in multiples of $1,000: 8.55% 30 days; 8.45% 60 days; 8.40% 90 days. CERTIFICATES OF DEPOSIT: 8.05% one month; 8.02% two months; 8% three months; 7.98% six months; 7.95% one year.
