context_id	word	gold_sense_id	predict_sense_id	positions	context
commit.v.1	commit	commit.v.1		96-105	The United Nations in East Timor has issued the first indictments of suspects in the atrocities committed during the territory's 1999 vote to separate from Indonesia .
commit.v.2	commit	commit.v.1		117-126	Since then United Nations and the Indonesian government have been working together to investigate alleged war crimes committed by troops and militia groups .
commit.v.3	commit	commit.v.1		122-131	A Libyan dissident exiled in Egypt Mohammed Fias Jabrel says he is satisfied with the verdict because it proves Libya has committed crimes against innocent people but Mr. Jabrel says he hopes the case is not closed .
commit.v.4	commit	commit.v.1		278-287	You can see the price of bread go up , you can see your bus fares go up , you can see companies closing down or working short weeks and that sort of thing , but you can also read Zimbabwe's crisis in the number of destitute people on the streets , in the number of crimes being committed .
commit.v.5	commit	commit.v.1		48-58	The resolution also accused the Jewish state of committing war crimes against the Palestinians .
commit.v.6	commit	commit.v.1		95-101	Experts say there's no accurate or useful way to profile the personality of a child that might commit violent acts .
commit.v.7	commit	commit.v.1		74-83	His successor , Vojislav Kostunica leader to admit Army and police forces committed widespread killings in Kosovo last year .
commit.v.8	commit	commit.v.1		95-104	In a television interview , Kostunica says he is ready to accept responsibility for the crimes committed under the Milosevic regime .
commit.v.9	commit	commit.v.1		57-66	Many speculated that Milosevic , whose parents and uncle committed suicide , might be mentally unbalanced himself .
commit.v.10	commit	commit.v.1		66-72	How could so many people end up in prison for crimes they did n't commit ?
commit.v.11	commit	commit.v.1		217-223	Sears was serving a 30 - year sentence for the self-confessed 1992 killing of his wife in Clinton , Maryland , but after a relentless campaign that included a letter from his psychiatrist saying Sears was unlikely to commit such violence again , the judge in this case , got him released .
commit.v.12	commit	commit.v.1		16-25	They would have committed the largest robbery ever to take place ever in the world .
commit.v.13	commit	commit.v.1		77-87	When can doctors tell police they 've discovered evidence their patients are committing crimes ?
commit.v.14	commit	commit.v.3		136-145	Held as a material witness in the compulsory prostitution trial of Mickey Jelke , the comely courtesan was unable to raise bail and was committed to the Women's House of Detention , a terribly overcrowded prison .
commit.v.15	commit	commit.v.1		120-130	Moreover , the diabetic patient who relies on cure by the quack device and therefore cuts off his insulin intake can be committing suicide .
